"id","name","surname","lastname","birthday","passport","vote"
"999991","Грачев","Егор","Максимович","1987-09-13","7240118382","1"
"999992","Егоров","Михаил","Владиславович","1979-06-21","9963389820","2"
"999993","Зайцев","Мирон","Ильич","1999-12-06","864783430","3"
"999994","Григорьев","Юрий","Максимович","1984-01-25","6556694490","4"
"999995","Попов","Богдан","Тимофеевич","1987-03-21","1811213873","5"
"999996","Иванов","Руслан","Максимович","2002-01-31","8564225783","1"
"999997","Чернышева","Марьяна","Платоновна","1994-05-07","8711184407","2"
"999998","Кузнецова","Мария","Артёмовна","1992-11-25","8773172200","3"
"999999","Зайцева","Полина","Фёдоровна","1983-12-16","7984572755","4"
"1000000","Золотарев","Дмитрий","Владиславович","1981-01-03","788224437","5"
